Gene stable ID	Gene stable ID version	Transcript stable ID version
ENSVPAG00000004375	ENSVPAG00000004375.1	ENSVPAT00000004375.1
ENSVPAG00000004375	ENSVPAG00000004375.1	ENSVPAT00000004375.1
ENSVPAG00000000096	ENSVPAG00000000096.1	ENSVPAT00000000096.1
ENSVPAG00000006432	ENSVPAG00000006432.1	ENSVPAT00000006433.1
ENSVPAG00000006719	ENSVPAG00000006719.1	ENSVPAT00000006718.1
ENSVPAG00000002815	ENSVPAG00000002815.1	ENSVPAT00000002818.1
ENSVPAG00000002815	ENSVPAG00000002815.1	ENSVPAT00000002818.1
ENSVPAG00000006438	ENSVPAG00000006438.1	ENSVPAT00000006438.1
ENSVPAG00000006438	ENSVPAG00000006438.1	ENSVPAT00000006438.1
ENSVPAG00000006438	ENSVPAG00000006438.1	ENSVPAT00000006438.1
ENSVPAG00000006438	ENSVPAG00000006438.1	ENSVPAT00000006438.1
ENSVPAG00000006438	ENSVPAG00000006438.1	ENSVPAT00000006438.1
ENSVPAG00000006438	ENSVPAG00000006438.1	ENSVPAT00000006438.1
ENSVPAG00000006438	ENSVPAG00000006438.1	ENSVPAT00000006438.1
ENSVPAG00000006438	ENSVPAG00000006438.1	ENSVPAT00000006438.1
ENSVPAG00000006438	ENSVPAG00000006438.1	ENSVPAT00000006438.1
ENSVPAG00000006438	ENSVPAG00000006438.1	ENSVPAT00000006438.1
ENSVPAG00000006438	ENSVPAG00000006438.1	ENSVPAT00000006438.1
ENSVPAG00000006438	ENSVPAG00000006438.1	ENSVPAT00000006438.1
ENSVPAG00000006438	ENSVPAG00000006438.1	ENSVPAT00000006438.1
ENSVPAG00000006438	ENSVPAG00000006438.1	ENSVPAT00000006438.1
ENSVPAG00000006438	ENSVPAG00000006438.1	ENSVPAT00000006438.1
ENSVPAG00000004384	ENSVPAG00000004384.1	ENSVPAT00000004384.1
ENSVPAG00000003375	ENSVPAG00000003375.1	ENSVPAT00000003375.1
ENSVPAG00000011153	ENSVPAG00000011153.1	ENSVPAT00000011153.1
ENSVPAG00000011153	ENSVPAG00000011153.1	ENSVPAT00000011153.1
ENSVPAG00000011153	ENSVPAG00000011153.1	ENSVPAT00000011153.1
ENSVPAG00000011153	ENSVPAG00000011153.1	ENSVPAT00000011153.1
ENSVPAG00000011153	ENSVPAG00000011153.1	ENSVPAT00000011153.1
ENSVPAG00000011153	ENSVPAG00000011153.1	ENSVPAT00000011153.1
ENSVPAG00000008574	ENSVPAG00000008574.1	ENSVPAT00000008575.1
ENSVPAG00000008574	ENSVPAG00000008574.1	ENSVPAT00000008575.1
ENSVPAG00000008574	ENSVPAG00000008574.1	ENSVPAT00000008575.1
ENSVPAG00000008574	ENSVPAG00000008574.1	ENSVPAT00000008575.1
ENSVPAG00000008574	ENSVPAG00000008574.1	ENSVPAT00000008575.1
ENSVPAG00000008574	ENSVPAG00000008574.1	ENSVPAT00000008575.1
ENSVPAG00000004279	ENSVPAG00000004279.1	ENSVPAT00000004279.1
ENSVPAG00000004281	ENSVPAG00000004281.1	ENSVPAT00000004281.1
ENSVPAG00000005804	ENSVPAG00000005804.1	ENSVPAT00000005805.1
ENSVPAG00000005804	ENSVPAG00000005804.1	ENSVPAT00000005805.1
ENSVPAG00000005804	ENSVPAG00000005804.1	ENSVPAT00000005805.1
ENSVPAG00000005804	ENSVPAG00000005804.1	ENSVPAT00000005805.1
ENSVPAG00000005804	ENSVPAG00000005804.1	ENSVPAT00000005805.1
ENSVPAG00000005804	ENSVPAG00000005804.1	ENSVPAT00000005805.1
ENSVPAG00000005804	ENSVPAG00000005804.1	ENSVPAT00000005805.1
ENSVPAG00000004282	ENSVPAG00000004282.1	ENSVPAT00000004282.1
ENSVPAG00000004283	ENSVPAG00000004283.1	ENSVPAT00000004283.1
ENSVPAG00000004284	ENSVPAG00000004284.1	ENSVPAT00000004284.1
ENSVPAG00000004287	ENSVPAG00000004287.1	ENSVPAT00000004285.1
ENSVPAG00000004288	ENSVPAG00000004288.1	ENSVPAT00000004287.1
ENSVPAG00000004289	ENSVPAG00000004289.1	ENSVPAT00000004289.1
ENSVPAG00000004289	ENSVPAG00000004289.1	ENSVPAT00000004289.1
ENSVPAG00000004289	ENSVPAG00000004289.1	ENSVPAT00000004289.1
ENSVPAG00000006864	ENSVPAG00000006864.1	ENSVPAT00000006864.1
ENSVPAG00000003006	ENSVPAG00000003006.1	ENSVPAT00000003005.1
ENSVPAG00000003006	ENSVPAG00000003006.1	ENSVPAT00000003005.1
ENSVPAG00000003006	ENSVPAG00000003006.1	ENSVPAT00000003005.1
ENSVPAG00000010541	ENSVPAG00000010541.1	ENSVPAT00000010541.1
ENSVPAG00000010541	ENSVPAG00000010541.1	ENSVPAT00000010541.1
ENSVPAG00000010542	ENSVPAG00000010542.1	ENSVPAT00000010542.1
ENSVPAG00000010542	ENSVPAG00000010542.1	ENSVPAT00000010542.1
ENSVPAG00000010542	ENSVPAG00000010542.1	ENSVPAT00000010542.1
ENSVPAG00000010542	ENSVPAG00000010542.1	ENSVPAT00000010542.1
ENSVPAG00000010542	ENSVPAG00000010542.1	ENSVPAT00000010542.1
ENSVPAG00000010542	ENSVPAG00000010542.1	ENSVPAT00000010542.1
ENSVPAG00000010542	ENSVPAG00000010542.1	ENSVPAT00000010542.1
ENSVPAG00000000491	ENSVPAG00000000491.1	ENSVPAT00000000491.1
ENSVPAG00000000491	ENSVPAG00000000491.1	ENSVPAT00000000491.1
ENSVPAG00000004398	ENSVPAG00000004398.1	ENSVPAT00000004399.1
ENSVPAG00000004398	ENSVPAG00000004398.1	ENSVPAT00000004399.1
ENSVPAG00000000205	ENSVPAG00000000205.1	ENSVPAT00000000205.1
ENSVPAG00000012390	ENSVPAG00000012390.1	ENSVPAT00000012388.1
ENSVPAG00000011284	ENSVPAG00000011284.1	ENSVPAT00000011284.1
ENSVPAG00000000493	ENSVPAG00000000493.1	ENSVPAT00000000493.1
ENSVPAG00000000493	ENSVPAG00000000493.1	ENSVPAT00000000493.1
ENSVPAG00000000493	ENSVPAG00000000493.1	ENSVPAT00000000493.1
ENSVPAG00000000493	ENSVPAG00000000493.1	ENSVPAT00000000493.1
ENSVPAG00000000493	ENSVPAG00000000493.1	ENSVPAT00000000493.1
ENSVPAG00000000493	ENSVPAG00000000493.1	ENSVPAT00000000493.1
ENSVPAG00000012391	ENSVPAG00000012391.1	ENSVPAT00000012391.1
ENSVPAG00000012391	ENSVPAG00000012391.1	ENSVPAT00000012391.1
ENSVPAG00000004482	ENSVPAG00000004482.1	ENSVPAT00000004481.1
ENSVPAG00000008256	ENSVPAG00000008256.1	ENSVPAT00000008279.1
ENSVPAG00000005926	ENSVPAG00000005926.1	ENSVPAT00000005926.1
ENSVPAG00000005926	ENSVPAG00000005926.1	ENSVPAT00000005926.1
ENSVPAG00000004483	ENSVPAG00000004483.1	ENSVPAT00000004483.1
ENSVPAG00000002221	ENSVPAG00000002221.1	ENSVPAT00000002221.1
ENSVPAG00000005933	ENSVPAG00000005933.1	ENSVPAT00000005932.1
ENSVPAG00000005933	ENSVPAG00000005933.1	ENSVPAT00000005932.1
ENSVPAG00000003872	ENSVPAG00000003872.1	ENSVPAT00000003872.1
ENSVPAG00000003872	ENSVPAG00000003872.1	ENSVPAT00000003872.1
ENSVPAG00000003349	ENSVPAG00000003349.1	ENSVPAT00000003349.1
ENSVPAG00000008943	ENSVPAG00000008943.1	ENSVPAT00000008943.1
ENSVPAG00000008944	ENSVPAG00000008944.1	ENSVPAT00000008944.1
ENSVPAG00000008945	ENSVPAG00000008945.1	ENSVPAT00000008945.1
ENSVPAG00000008947	ENSVPAG00000008947.1	ENSVPAT00000008947.1
ENSVPAG00000005167	ENSVPAG00000005167.1	ENSVPAT00000005166.1
ENSVPAG00000004507	ENSVPAG00000004507.1	ENSVPAT00000004507.1
ENSVPAG00000011630	ENSVPAG00000011630.1	ENSVPAT00000011630.1
ENSVPAG00000011630	ENSVPAG00000011630.1	ENSVPAT00000011630.1
ENSVPAG00000002824	ENSVPAG00000002824.2	ENSVPAT00000015463.1
ENSVPAG00000010558	ENSVPAG00000010558.1	ENSVPAT00000010559.1
ENSVPAG00000002334	ENSVPAG00000002334.1	ENSVPAT00000002333.1
ENSVPAG00000000123	ENSVPAG00000000123.1	ENSVPAT00000000123.1
ENSVPAG00000003905	ENSVPAG00000003905.1	ENSVPAT00000003905.1
ENSVPAG00000007760	ENSVPAG00000007760.1	ENSVPAT00000007759.1
ENSVPAG00000007906	ENSVPAG00000007906.1	ENSVPAT00000007906.1
ENSVPAG00000007906	ENSVPAG00000007906.1	ENSVPAT00000007906.1
ENSVPAG00000007906	ENSVPAG00000007906.1	ENSVPAT00000007906.1
ENSVPAG00000002605	ENSVPAG00000002605.1	ENSVPAT00000002605.1
ENSVPAG00000003397	ENSVPAG00000003397.1	ENSVPAT00000003400.1
ENSVPAG00000003397	ENSVPAG00000003397.1	ENSVPAT00000003400.1
ENSVPAG00000007765	ENSVPAG00000007765.1	ENSVPAT00000007765.1
ENSVPAG00000007765	ENSVPAG00000007765.1	ENSVPAT00000007765.1
ENSVPAG00000007765	ENSVPAG00000007765.1	ENSVPAT00000007765.1
ENSVPAG00000007765	ENSVPAG00000007765.1	ENSVPAT00000007765.1
ENSVPAG00000003985	ENSVPAG00000003985.1	ENSVPAT00000003985.1
ENSVPAG00000000642	ENSVPAG00000000642.1	ENSVPAT00000000642.1
ENSVPAG00000000642	ENSVPAG00000000642.1	ENSVPAT00000000642.1
ENSVPAG00000000642	ENSVPAG00000000642.1	ENSVPAT00000000642.1
ENSVPAG00000007886	ENSVPAG00000007886.1	ENSVPAT00000007884.1
ENSVPAG00000007886	ENSVPAG00000007886.1	ENSVPAT00000007884.1
ENSVPAG00000007886	ENSVPAG00000007886.1	ENSVPAT00000007884.1
ENSVPAG00000003987	ENSVPAG00000003987.1	ENSVPAT00000003987.1
ENSVPAG00000010259	ENSVPAG00000010259.1	ENSVPAT00000010259.1
ENSVPAG00000010262	ENSVPAG00000010262.1	ENSVPAT00000010262.1
ENSVPAG00000010262	ENSVPAG00000010262.1	ENSVPAT00000010262.1
ENSVPAG00000009998	ENSVPAG00000009998.1	ENSVPAT00000009997.1
ENSVPAG00000003993	ENSVPAG00000003993.1	ENSVPAT00000003993.1
ENSVPAG00000003993	ENSVPAG00000003993.1	ENSVPAT00000003993.1
ENSVPAG00000003993	ENSVPAG00000003993.1	ENSVPAT00000003993.1
ENSVPAG00000003993	ENSVPAG00000003993.1	ENSVPAT00000003993.1
ENSVPAG00000003993	ENSVPAG00000003993.1	ENSVPAT00000003993.1
ENSVPAG00000004703	ENSVPAG00000004703.1	ENSVPAT00000004703.1
ENSVPAG00000006961	ENSVPAG00000006961.1	ENSVPAT00000006961.1
ENSVPAG00000003995	ENSVPAG00000003995.1	ENSVPAT00000003995.1
ENSVPAG00000003995	ENSVPAG00000003995.1	ENSVPAT00000003995.1
ENSVPAG00000003995	ENSVPAG00000003995.1	ENSVPAT00000003995.1
ENSVPAG00000003995	ENSVPAG00000003995.1	ENSVPAT00000003995.1
ENSVPAG00000003995	ENSVPAG00000003995.1	ENSVPAT00000003995.1
ENSVPAG00000003995	ENSVPAG00000003995.1	ENSVPAT00000003995.1
ENSVPAG00000009874	ENSVPAG00000009874.1	ENSVPAT00000009873.1
ENSVPAG00000009874	ENSVPAG00000009874.1	ENSVPAT00000009873.1
ENSVPAG00000010268	ENSVPAG00000010268.1	ENSVPAT00000010267.1
ENSVPAG00000010268	ENSVPAG00000010268.1	ENSVPAT00000010267.1
ENSVPAG00000010268	ENSVPAG00000010268.1	ENSVPAT00000010267.1
ENSVPAG00000010006	ENSVPAG00000010006.2	ENSVPAT00000015514.1
ENSVPAG00000010006	ENSVPAG00000010006.2	ENSVPAT00000015514.1
ENSVPAG00000010006	ENSVPAG00000010006.2	ENSVPAT00000015514.1
ENSVPAG00000010006	ENSVPAG00000010006.2	ENSVPAT00000015514.1
ENSVPAG00000010006	ENSVPAG00000010006.2	ENSVPAT00000015514.1
ENSVPAG00000010006	ENSVPAG00000010006.2	ENSVPAT00000015514.1
ENSVPAG00000010006	ENSVPAG00000010006.2	ENSVPAT00000015514.1
ENSVPAG00000010006	ENSVPAG00000010006.2	ENSVPAT00000015514.1
ENSVPAG00000010006	ENSVPAG00000010006.2	ENSVPAT00000015514.1
ENSVPAG00000010006	ENSVPAG00000010006.2	ENSVPAT00000015514.1
ENSVPAG00000010006	ENSVPAG00000010006.2	ENSVPAT00000010005.1
ENSVPAG00000010006	ENSVPAG00000010006.2	ENSVPAT00000010005.1
ENSVPAG00000004644	ENSVPAG00000004644.1	ENSVPAT00000004644.1
ENSVPAG00000004644	ENSVPAG00000004644.1	ENSVPAT00000004644.1
ENSVPAG00000011930	ENSVPAG00000011930.1	ENSVPAT00000011928.1
ENSVPAG00000011930	ENSVPAG00000011930.1	ENSVPAT00000011928.1
ENSVPAG00000011930	ENSVPAG00000011930.1	ENSVPAT00000011928.1
ENSVPAG00000011930	ENSVPAG00000011930.1	ENSVPAT00000011928.1
ENSVPAG00000011930	ENSVPAG00000011930.1	ENSVPAT00000011928.1
ENSVPAG00000004647	ENSVPAG00000004647.1	ENSVPAT00000004647.1
ENSVPAG00000004645	ENSVPAG00000004645.1	ENSVPAT00000004646.1
ENSVPAG00000004645	ENSVPAG00000004645.1	ENSVPAT00000004646.1
ENSVPAG00000004645	ENSVPAG00000004645.1	ENSVPAT00000004646.1
ENSVPAG00000004645	ENSVPAG00000004645.1	ENSVPAT00000004646.1
ENSVPAG00000004645	ENSVPAG00000004645.1	ENSVPAT00000004646.1
ENSVPAG00000004645	ENSVPAG00000004645.1	ENSVPAT00000004646.1
ENSVPAG00000008076	ENSVPAG00000008076.1	ENSVPAT00000008076.1
ENSVPAG00000008077	ENSVPAG00000008077.1	ENSVPAT00000008077.1
ENSVPAG00000008077	ENSVPAG00000008077.1	ENSVPAT00000008077.1
ENSVPAG00000008077	ENSVPAG00000008077.1	ENSVPAT00000008077.1
ENSVPAG00000008077	ENSVPAG00000008077.1	ENSVPAT00000008077.1
ENSVPAG00000008077	ENSVPAG00000008077.1	ENSVPAT00000008077.1
ENSVPAG00000002823	ENSVPAG00000002823.1	ENSVPAT00000002823.1
ENSVPAG00000002823	ENSVPAG00000002823.1	ENSVPAT00000002823.1
ENSVPAG00000011641	ENSVPAG00000011641.1	ENSVPAT00000011641.1
ENSVPAG00000011641	ENSVPAG00000011641.1	ENSVPAT00000011641.1
ENSVPAG00000004671	ENSVPAG00000004671.1	ENSVPAT00000004671.1
ENSVPAG00000004671	ENSVPAG00000004671.1	ENSVPAT00000004671.1
ENSVPAG00000004671	ENSVPAG00000004671.1	ENSVPAT00000004671.1
ENSVPAG00000000408	ENSVPAG00000000408.1	ENSVPAT00000000408.1
ENSVPAG00000000408	ENSVPAG00000000408.1	ENSVPAT00000000408.1
ENSVPAG00000011805	ENSVPAG00000011805.1	ENSVPAT00000011805.1
ENSVPAG00000011805	ENSVPAG00000011805.1	ENSVPAT00000011805.1
ENSVPAG00000011805	ENSVPAG00000011805.1	ENSVPAT00000011805.1
ENSVPAG00000011805	ENSVPAG00000011805.1	ENSVPAT00000011805.1
ENSVPAG00000011805	ENSVPAG00000011805.1	ENSVPAT00000011805.1
ENSVPAG00000011805	ENSVPAG00000011805.1	ENSVPAT00000011805.1
ENSVPAG00000011805	ENSVPAG00000011805.1	ENSVPAT00000011805.1
ENSVPAG00000011805	ENSVPAG00000011805.1	ENSVPAT00000011805.1
ENSVPAG00000011805	ENSVPAG00000011805.1	ENSVPAT00000011805.1
ENSVPAG00000011805	ENSVPAG00000011805.1	ENSVPAT00000011805.1
ENSVPAG00000011805	ENSVPAG00000011805.1	ENSVPAT00000011805.1
ENSVPAG00000008443	ENSVPAG00000008443.1	ENSVPAT00000008442.1
ENSVPAG00000008443	ENSVPAG00000008443.1	ENSVPAT00000008442.1
ENSVPAG00000010520	ENSVPAG00000010520.1	ENSVPAT00000010520.1
ENSVPAG00000010520	ENSVPAG00000010520.1	ENSVPAT00000010520.1
ENSVPAG00000010520	ENSVPAG00000010520.1	ENSVPAT00000010520.1
ENSVPAG00000010520	ENSVPAG00000010520.1	ENSVPAT00000010520.1
ENSVPAG00000010520	ENSVPAG00000010520.1	ENSVPAT00000010520.1
ENSVPAG00000010520	ENSVPAG00000010520.1	ENSVPAT00000010520.1
ENSVPAG00000010520	ENSVPAG00000010520.1	ENSVPAT00000010520.1
ENSVPAG00000010520	ENSVPAG00000010520.1	ENSVPAT00000010520.1
ENSVPAG00000000118	ENSVPAG00000000118.1	ENSVPAT00000000118.1
ENSVPAG00000000118	ENSVPAG00000000118.1	ENSVPAT00000000118.1
ENSVPAG00000000118	ENSVPAG00000000118.1	ENSVPAT00000000118.1
ENSVPAG00000000118	ENSVPAG00000000118.1	ENSVPAT00000000118.1
ENSVPAG00000000118	ENSVPAG00000000118.1	ENSVPAT00000000118.1
ENSVPAG00000000118	ENSVPAG00000000118.1	ENSVPAT00000000118.1
ENSVPAG00000000118	ENSVPAG00000000118.1	ENSVPAT00000000118.1
ENSVPAG00000000118	ENSVPAG00000000118.1	ENSVPAT00000000118.1
ENSVPAG00000000118	ENSVPAG00000000118.1	ENSVPAT00000000118.1
ENSVPAG00000000118	ENSVPAG00000000118.1	ENSVPAT00000000118.1
ENSVPAG00000008447	ENSVPAG00000008447.1	ENSVPAT00000008447.1
ENSVPAG00000008447	ENSVPAG00000008447.1	ENSVPAT00000008447.1
ENSVPAG00000000465	ENSVPAG00000000465.1	ENSVPAT00000000464.1
ENSVPAG00000000465	ENSVPAG00000000465.1	ENSVPAT00000000464.1
ENSVPAG00000000465	ENSVPAG00000000465.1	ENSVPAT00000000464.1
ENSVPAG00000000465	ENSVPAG00000000465.1	ENSVPAT00000000464.1
ENSVPAG00000000465	ENSVPAG00000000465.1	ENSVPAT00000000464.1
ENSVPAG00000000465	ENSVPAG00000000465.1	ENSVPAT00000000464.1
ENSVPAG00000000465	ENSVPAG00000000465.1	ENSVPAT00000000464.1
ENSVPAG00000000465	ENSVPAG00000000465.1	ENSVPAT00000000464.1
ENSVPAG00000000465	ENSVPAG00000000465.1	ENSVPAT00000000464.1
ENSVPAG00000000465	ENSVPAG00000000465.1	ENSVPAT00000000464.1
ENSVPAG00000000465	ENSVPAG00000000465.1	ENSVPAT00000000464.1
ENSVPAG00000011811	ENSVPAG00000011811.1	ENSVPAT00000011810.1
ENSVPAG00000000469	ENSVPAG00000000469.1	ENSVPAT00000000469.1
ENSVPAG00000001975	ENSVPAG00000001975.1	ENSVPAT00000001975.1
ENSVPAG00000001975	ENSVPAG00000001975.1	ENSVPAT00000001975.1
ENSVPAG00000011816	ENSVPAG00000011816.1	ENSVPAT00000011816.1
ENSVPAG00000011106	ENSVPAG00000011106.1	ENSVPAT00000011106.1
ENSVPAG00000005655	ENSVPAG00000005655.1	ENSVPAT00000005655.1
ENSVPAG00000015447	ENSVPAG00000015447.1	ENSVPAT00000000500.1
ENSVPAG00000015477	ENSVPAG00000015477.1	ENSVPAT00000000501.1
ENSVPAG00000005117	ENSVPAG00000005117.1	ENSVPAT00000005117.1
ENSVPAG00000005117	ENSVPAG00000005117.1	ENSVPAT00000005117.1
ENSVPAG00000005117	ENSVPAG00000005117.1	ENSVPAT00000005117.1
ENSVPAG00000005117	ENSVPAG00000005117.1	ENSVPAT00000005117.1
ENSVPAG00000005117	ENSVPAG00000005117.1	ENSVPAT00000005117.1
ENSVPAG00000005117	ENSVPAG00000005117.1	ENSVPAT00000005117.1
ENSVPAG00000005117	ENSVPAG00000005117.1	ENSVPAT00000005117.1
ENSVPAG00000005117	ENSVPAG00000005117.1	ENSVPAT00000005117.1
ENSVPAG00000000700	ENSVPAG00000000700.1	ENSVPAT00000000700.1
ENSVPAG00000015436	ENSVPAG00000015436.1	ENSVPAT00000015469.1
ENSVPAG00000011820	ENSVPAG00000011820.1	ENSVPAT00000011819.1
ENSVPAG00000011820	ENSVPAG00000011820.1	ENSVPAT00000011819.1
ENSVPAG00000011820	ENSVPAG00000011820.1	ENSVPAT00000011819.1
ENSVPAG00000011820	ENSVPAG00000011820.1	ENSVPAT00000011819.1
ENSVPAG00000011820	ENSVPAG00000011820.1	ENSVPAT00000011819.1
ENSVPAG00000011820	ENSVPAG00000011820.1	ENSVPAT00000011819.1
ENSVPAG00000012566	ENSVPAG00000012566.1	ENSVPAT00000012566.1
ENSVPAG00000012566	ENSVPAG00000012566.1	ENSVPAT00000012566.1
ENSVPAG00000011034	ENSVPAG00000011034.1	ENSVPAT00000011037.1
ENSVPAG00000001980	ENSVPAG00000001980.1	ENSVPAT00000001981.1
ENSVPAG00000001980	ENSVPAG00000001980.1	ENSVPAT00000001981.1
ENSVPAG00000001980	ENSVPAG00000001980.1	ENSVPAT00000001981.1
ENSVPAG00000001980	ENSVPAG00000001980.1	ENSVPAT00000001981.1
ENSVPAG00000001980	ENSVPAG00000001980.1	ENSVPAT00000001981.1
ENSVPAG00000001980	ENSVPAG00000001980.1	ENSVPAT00000001981.1
ENSVPAG00000001980	ENSVPAG00000001980.1	ENSVPAT00000001981.1
ENSVPAG00000001980	ENSVPAG00000001980.1	ENSVPAT00000001981.1
ENSVPAG00000001980	ENSVPAG00000001980.1	ENSVPAT00000001981.1
ENSVPAG00000001980	ENSVPAG00000001980.1	ENSVPAT00000001981.1
ENSVPAG00000011822	ENSVPAG00000011822.1	ENSVPAT00000011823.1
ENSVPAG00000011822	ENSVPAG00000011822.1	ENSVPAT00000011823.1
ENSVPAG00000006231	ENSVPAG00000006231.1	ENSVPAT00000006231.1
ENSVPAG00000006231	ENSVPAG00000006231.1	ENSVPAT00000006231.1
ENSVPAG00000001250	ENSVPAG00000001250.1	ENSVPAT00000001250.1
ENSVPAG00000002997	ENSVPAG00000002997.1	ENSVPAT00000003002.1
ENSVPAG00000000257	ENSVPAG00000000257.1	ENSVPAT00000000257.1
ENSVPAG00000000361	ENSVPAG00000000361.1	ENSVPAT00000000361.1
ENSVPAG00000000361	ENSVPAG00000000361.1	ENSVPAT00000000361.1
ENSVPAG00000000361	ENSVPAG00000000361.1	ENSVPAT00000000361.1
ENSVPAG00000000361	ENSVPAG00000000361.1	ENSVPAT00000000361.1
ENSVPAG00000000539	ENSVPAG00000000539.1	ENSVPAT00000000539.1
ENSVPAG00000000539	ENSVPAG00000000539.1	ENSVPAT00000000539.1
ENSVPAG00000000139	ENSVPAG00000000139.1	ENSVPAT00000000138.1
ENSVPAG00000000648	ENSVPAG00000000648.1	ENSVPAT00000000648.1
ENSVPAG00000000648	ENSVPAG00000000648.1	ENSVPAT00000000648.1
ENSVPAG00000000648	ENSVPAG00000000648.1	ENSVPAT00000000648.1
ENSVPAG00000000365	ENSVPAG00000000365.1	ENSVPAT00000000365.1
ENSVPAG00000000365	ENSVPAG00000000365.1	ENSVPAT00000000365.1
ENSVPAG00000000365	ENSVPAG00000000365.1	ENSVPAT00000000365.1
ENSVPAG00000000365	ENSVPAG00000000365.1	ENSVPAT00000000365.1
ENSVPAG00000000365	ENSVPAG00000000365.1	ENSVPAT00000000365.1
ENSVPAG00000000365	ENSVPAG00000000365.1	ENSVPAT00000000365.1
ENSVPAG00000000365	ENSVPAG00000000365.1	ENSVPAT00000000365.1
ENSVPAG00000000365	ENSVPAG00000000365.1	ENSVPAT00000000365.1
ENSVPAG00000000365	ENSVPAG00000000365.1	ENSVPAT00000000365.1
ENSVPAG00000000365	ENSVPAG00000000365.1	ENSVPAT00000000365.1
ENSVPAG00000000365	ENSVPAG00000000365.1	ENSVPAT00000000365.1
ENSVPAG00000000365	ENSVPAG00000000365.1	ENSVPAT00000000365.1
ENSVPAG00000000365	ENSVPAG00000000365.1	ENSVPAT00000000365.1
ENSVPAG00000000365	ENSVPAG00000000365.1	ENSVPAT00000000365.1
ENSVPAG00000004952	ENSVPAG00000004952.1	ENSVPAT00000004952.1
ENSVPAG00000007990	ENSVPAG00000007990.1	ENSVPAT00000007990.1
ENSVPAG00000000105	ENSVPAG00000000105.1	ENSVPAT00000000105.1
ENSVPAG00000000105	ENSVPAG00000000105.1	ENSVPAT00000000105.1
